target_id	length	eff_length	est_counts	tpm
h1SMcT0022923.1	2315	2130.71	0	0
h1SMcT0022924.1	1422	1237.71	0	0
h1SMcT0023045.1	526	342.793	19.7286	3.38838
h1SMcT0023046.1	2603	2418.71	52.865	1.28681
h1SMnT0035436.1	398	218.344	0	0
h1SMcT0022760.1	1564	1379.71	0	0
h1SMcT0022761.1	466	283.809	2.30978	0.479152
h1SMcT0022762.1	667	482.905	0.0393334	0.00479543
h1SMcT0022763.1	1224	1039.71	0	0
h1SMcT0022764.1	1118	933.711	0	0
h1SMcT0022765.1	3741	3556.71	0.0321813	0.0005327
h1SMcT0022766.1	476	293.554	0	0
h1SMnT0035377.1	582	398.217	2.61001	0.385879
h1SMnT0035378.1	376	197.579	0	0
h1SMcT0023011.1	875	690.755	0	0
h1SMnT0035379.1	1105	920.711	3	0.191834
h1SMnT0035380.1	447	265.378	0	0
h1SMcT0023012.1	3189	3004.71	24.6785	0.483553
h1SMnT0035381.1	433	251.852	11.3146	2.64498
h1SMcT0023013.1	961	776.711	28.0644	2.12728
h1SMcT0023014.1	767	582.768	0	0
h1SMnT0035382.1	510	326.994	0	0
h1SMnT0035383.1	348	171.572	10.4819	3.59685
h1SMnT0035384.1	226	69.1028	0	0
h1SMcT0022895.1	509	326.02	0	0
h1SMnT0035212.1	281	112.788	10	5.21995
h1SMcT0022896.1	830	645.755	79.1294	7.21437
h1SMnT0035213.1	518	334.888	0	0
h1SMcT0022897.1	2388	2203.71	0	0
h1SMcT0022825.1	1188	1003.71	124.217	7.2862
h1SMcT0022826.1	450	268.276	0	0
h1SMcT0022827.1	2407	2222.71	683.742	18.1108
h1SMnT0035224.1	1281	1096.71	13.6695	0.733821
h1SMcT0023072.1	1689	1504.71	151.869	5.94217
h1SMnT0035474.1	432	250.882	0	0
h1SMcT0023068.1	850	665.755	7157.49	632.958
h1SMcT0023069.1	676	491.895	9423.42	1127.88
h1SMcT0023058.1	1050	865.711	526.412	35.7999
h1SMnT0035461.1	333	157.942	1	0.372762
h1SMnT0035462.1	313	140.076	0	0
h1SMnT0035463.1	1094	909.711	25.06	1.62183
h1SMcT0023059.1	1333	1148.71	32.1029	1.64536
h1SMnT0035464.1	389	209.835	0	0
h1SMnT0035465.1	2164	1979.71	6.02908	0.179299
h1SMnT0035386.1	1332	1147.71	27.4296	1.40707
h1SMnT0035387.1	1556	1371.71	24.5704	1.05458
h1SMcT0023018.1	886	701.755	386.183	32.3994
h1SMcT0023019.1	741	556.79	132.214	13.9803
h1SMcT0022969.1	1378	1193.71	3.18612	0.157142
h1SMnT0035303.1	320	146.324	0	0
h1SMcT0022970.1	1801	1616.71	19.9642	0.727024
h1SMnT0035245.1	718	533.834	1.19707	0.132021
h1SMcT0022925.1	1920	1735.71	421.892	14.3104
h1SMnT0035456.1	418	237.424	2.42298	0.600834
h1SMnT0035223.1	152	23.0867	3.34012	8.5178
h1SMnT0035437.1	2980	2795.71	26.9342	0.567206
h1SMcT0023047.1	1942	1757.71	1070.8	35.8667
h1SMnT0035438.1	272	105.287	1	0.559181
h1SMcT0023062.1	2642	2457.71	27.1545	0.650488
h1SMnT0035326.1	303	131.444	11.9574	5.35581
h1SMcT0022978.1	840	655.755	3	0.269344
h1SMcT0022979.1	1317	1132.71	7.451	0.387279
h1SMcT0022980.1	744	559.779	81	8.51916
h1SMnT0035067.1	1332	1147.71	3.19136	0.163709
h1SMcT0022788.1	758	573.779	0	0
h1SMcT0022654.1	1219	1034.71	0	0
h1SMcT0022655.1	4783	4598.71	18.1266	0.232064
h1SMcT0023052.1	2499	2314.71	302.599	7.6966
h1SMnT0035453.1	579	395.257	0	0
h1SMnT0035220.1	677	492.895	4	0.477786
h1SMnT0035221.1	572	388.343	0	0
h1SMnT0035201.1	835	650.755	4.65015	0.420705
h1SMcT0022884.1	1496	1311.71	10494	471.01
h1SMnT0035202.1	347	170.66	6.06124	2.09102
h1SMnT0035203.1	1152	967.711	5.44537	0.331291
h1SMnT0035393.1	386	206.97	0	0
h1SMnT0035394.1	1916	1731.71	7285.55	247.694
h1SMnT0035395.1	1740	1555.71	146.733	5.55298
h1SMnT0035396.1	2185	2000.71	0.00054986	1.61807e-05
h1SMnT0035397.1	3292	3107.71	0	0
h1SMnT0035398.1	1777	1592.71	4323.28	159.81
h1SMcT0022700.1	1613	1428.71	105.169	4.33382
h1SMcT0022993.1	1141	956.711	0	0
h1SMnT0035346.1	308	135.795	0	0
h1SMcT0022813.1	1131	946.711	1.12478	0.0699485
h1SMnT0035115.1	1710	1525.71	3.64177	0.14053
h1SMnT0035116.1	1167	982.711	0	0
h1SMnT0034994.1	1801	1616.71	0.000294374	1.072e-05
h1SMnT0034995.1	520	336.861	0	0
h1SMnT0034996.1	1532	1347.71	0	0
h1SMnT0034997.1	2324	2139.71	79.1687	2.17835
h1SMnT0034998.1	1365	1180.71	0	0
h1SMnT0034999.1	1694	1509.71	0	0
h1SMnT0035000.1	561	377.427	0	0
h1SMnT0035001.1	3293	3108.71	0	0
h1SMnT0035002.1	3290	3105.71	0	0
h1SMcT0022768.1	1907	1722.71	29.8649	1.02065
h1SMnT0035039.1	505	322.085	0	0
h1SMnT0035040.1	897	712.741	0	0
h1SMcT0022769.1	2740	2555.71	277.041	6.38205
h1SMcT0022770.1	1793	1608.71	72.9491	2.66975
h1SMnT0035041.1	319	145.449	0	0
