gene	Currie_et_al_Lhx_LFC	This_study_Lhx_LFC	Currie_et_al_Pitx_LFC	This_study_Litx_LFC
h1SMcG0000369	NA	NA	-0.550336737016417	1.45992882543997
h1SMcG0000374	-0.553899713348408	-0.0359506724635505	-0.302162498794831	0.0418895267439515
h1SMcG0000375	-0.443905545766805	0.719322765427922	-0.201116394909494	0.72976060039453
h1SMcG0000377	0.353153140305963	0.185549626372283	0.404701329653584	-0.144061237138902
h1SMcG0000380	0.130474159490301	-0.262948908063479	0.219896588647964	0.152292642710716
h1SMcG0000382	-0.18378090963864	-0.173801980136336	-0.00919099984944007	0.169229876378502
h1SMcG0000383	NA	NA	-0.60189415436569	0.188847466514232
h1SMcG0000384	2.79579449983885	0.380141420024899	2.41572996500635	-0.526781429468612
h1SMcG0000387	0.081361300121852	-0.963375615640487	-0.446890232309428	-0.571546970976089
h1SMcG0000393	1.23927055849568	-1.12110520191182	1.1528554984824	-1.04549828823256
h1SMcG0000400	-0.140032924005696	0.227713930563946	0.0344490711600575	0.423239178220631
h1SMcG0000401	0.821328267769968	-1.18297880786513	0.472745462427943	-0.325824437674659
h1SMcG0000405	0.126932291601876	-0.0653958173962797	0.0914032607738257	0.0341910403273152
h1SMcG0000406	0	1.75527085432748	NA	NA
h1SMcG0000410	-0.244297460093732	-1.08518062984927	0.344938546032864	-0.530370850819037
h1SMcG0000412	0.621904050725156	-1.06620711588835	0.91992805880283	-0.480361492994314
h1SMcG0000413	-0.528200824700002	-0.407181680772275	-0.109669291973007	-1.6878228361175
h1SMcG0000417	1.06992483759309	-1.02781708608173	-0.0251685018168649	-0.644866680001862
h1SMcG0000419	0.357940028529221	0.224857671841749	-18.9344364814549	1.34005734447785
h1SMcG0000420	-0.0443459309994006	1.89228686469666	0.0808715961385461	0.369157930920709
h1SMcG0000423	0.115050684447138	0.450714609213822	0.0148611712293954	0.199784696607122
h1SMcG0000424	-0.0204122226408625	0.0633151508608863	-0.0497170861224318	0.0496253968336987
h1SMcG0000425	0.0574110647380461	0.308239450695671	0.0482916666128856	0.505935950353591
h1SMcG0000426	-0.00895464262134633	-0.0446496207202995	0.0544778994048506	-0.0407774128850474
h1SMcG0000427	-0.827561572683731	0.251040490585494	-0.0576691117055882	0.41768080855394
h1SMcG0000430	0.0464171566667427	-0.0516433850783387	-0.203800667075487	0.0399598897028708
h1SMcG0000431	-0.456847241131664	0.280080086809544	-0.0528518155839211	0.497907706618432
h1SMcG0000432	-0.0908551189056754	0.35474723214956	0.114498928888832	0.189047827529892
