h1SMcG0000506	h1SMcG0000506	Gene Expression
h1SMcG0000507	h1SMcG0000507	Gene Expression
h1SMcG0000508	h1SMcG0000508	Gene Expression
h1SMcG0000510	h1SMcG0000510	Gene Expression
h1SMcG0000511	h1SMcG0000511	Gene Expression
h1SMcG0000512	h1SMcG0000512	Gene Expression
h1SMcG0000513	h1SMcG0000513	Gene Expression
h1SMcG0000514	h1SMcG0000514	Gene Expression
h1SMcG0000515	h1SMcG0000515	Gene Expression
h1SMcG0000516	h1SMcG0000516	Gene Expression
h1SMcG0000517	h1SMcG0000517	Gene Expression
h1SMcG0000518	h1SMcG0000518	Gene Expression
h1SMcG0000519	h1SMcG0000519	Gene Expression
h1SMcG0000520	h1SMcG0000520	Gene Expression
h1SMcG0000522	h1SMcG0000522	Gene Expression
h1SMcG0000523	h1SMcG0000523	Gene Expression
h1SMcG0000524	h1SMcG0000524	Gene Expression
h1SMcG0000525	h1SMcG0000525	Gene Expression
h1SMcG0000526	h1SMcG0000526	Gene Expression
h1SMcG0000527	h1SMcG0000527	Gene Expression
h1SMcG0000528	h1SMcG0000528	Gene Expression
h1SMcG0000530	h1SMcG0000530	Gene Expression
h1SMcG0000531	h1SMcG0000531	Gene Expression
h1SMcG0000532	h1SMcG0000532	Gene Expression
h1SMcG0000533	h1SMcG0000533	Gene Expression
h1SMcG0000534	h1SMcG0000534	Gene Expression
h1SMcG0000536	h1SMcG0000536	Gene Expression
h1SMcG0000538	h1SMcG0000538	Gene Expression
h1SMcG0000541	h1SMcG0000541	Gene Expression
h1SMcG0000542	h1SMcG0000542	Gene Expression
h1SMcG0000543	h1SMcG0000543	Gene Expression
h1SMcG0000544	h1SMcG0000544	Gene Expression
h1SMcG0000545	h1SMcG0000545	Gene Expression
h1SMcG0000546	h1SMcG0000546	Gene Expression
h1SMcG0000547	h1SMcG0000547	Gene Expression
h1SMcG0000548	h1SMcG0000548	Gene Expression
h1SMcG0000549	h1SMcG0000549	Gene Expression
h1SMcG0000550	h1SMcG0000550	Gene Expression
h1SMcG0000551	h1SMcG0000551	Gene Expression
h1SMcG0000554	h1SMcG0000554	Gene Expression
h1SMcG0000556	h1SMcG0000556	Gene Expression
h1SMcG0000558	h1SMcG0000558	Gene Expression
h1SMcG0000559	h1SMcG0000559	Gene Expression
h1SMcG0000560	h1SMcG0000560	Gene Expression
h1SMcG0000561	h1SMcG0000561	Gene Expression
h1SMcG0000562	h1SMcG0000562	Gene Expression
h1SMcG0000564	h1SMcG0000564	Gene Expression
h1SMcG0000565	h1SMcG0000565	Gene Expression
h1SMcG0000566	h1SMcG0000566	Gene Expression
h1SMcG0000567	h1SMcG0000567	Gene Expression
h1SMcG0000569	h1SMcG0000569	Gene Expression
h1SMcG0000570	h1SMcG0000570	Gene Expression
h1SMcG0000571	h1SMcG0000571	Gene Expression
h1SMcG0000572	h1SMcG0000572	Gene Expression
h1SMcG0000574	h1SMcG0000574	Gene Expression
h1SMcG0000576	h1SMcG0000576	Gene Expression
h1SMcG0000577	h1SMcG0000577	Gene Expression
h1SMcG0000579	h1SMcG0000579	Gene Expression
h1SMcG0000581	h1SMcG0000581	Gene Expression
h1SMcG0000582	h1SMcG0000582	Gene Expression
h1SMcG0000583	h1SMcG0000583	Gene Expression
h1SMcG0000584	h1SMcG0000584	Gene Expression
h1SMcG0000585	h1SMcG0000585	Gene Expression
h1SMcG0000586	h1SMcG0000586	Gene Expression
h1SMcG0000587	h1SMcG0000587	Gene Expression
h1SMcG0000588	h1SMcG0000588	Gene Expression
h1SMcG0000589	h1SMcG0000589	Gene Expression
h1SMcG0000590	h1SMcG0000590	Gene Expression
h1SMcG0000591	h1SMcG0000591	Gene Expression
h1SMcG0000592	h1SMcG0000592	Gene Expression
h1SMcG0000593	h1SMcG0000593	Gene Expression
h1SMcG0000595	h1SMcG0000595	Gene Expression
h1SMcG0000596	h1SMcG0000596	Gene Expression
h1SMcG0000597	h1SMcG0000597	Gene Expression
h1SMcG0000598	h1SMcG0000598	Gene Expression
h1SMcG0000599	h1SMcG0000599	Gene Expression
h1SMcG0000600	h1SMcG0000600	Gene Expression
h1SMcG0000601	h1SMcG0000601	Gene Expression
h1SMcG0000602	h1SMcG0000602	Gene Expression
h1SMcG0000604	h1SMcG0000604	Gene Expression
h1SMcG0000609	h1SMcG0000609	Gene Expression
h1SMcG0000612	h1SMcG0000612	Gene Expression
h1SMcG0000613	h1SMcG0000613	Gene Expression
h1SMcG0000614	h1SMcG0000614	Gene Expression
h1SMcG0000615	h1SMcG0000615	Gene Expression
h1SMcG0000616	h1SMcG0000616	Gene Expression
h1SMcG0000617	h1SMcG0000617	Gene Expression
h1SMcG0000618	h1SMcG0000618	Gene Expression
h1SMcG0000619	h1SMcG0000619	Gene Expression
h1SMcG0000620	h1SMcG0000620	Gene Expression
h1SMcG0000621	h1SMcG0000621	Gene Expression
h1SMcG0000622	h1SMcG0000622	Gene Expression
h1SMcG0000623	h1SMcG0000623	Gene Expression
h1SMcG0000626	h1SMcG0000626	Gene Expression
h1SMcG0000627	h1SMcG0000627	Gene Expression
h1SMcG0000628	h1SMcG0000628	Gene Expression
h1SMcG0000630	h1SMcG0000630	Gene Expression
h1SMcG0000631	h1SMcG0000631	Gene Expression
h1SMcG0000633	h1SMcG0000633	Gene Expression
h1SMcG0000634	h1SMcG0000634	Gene Expression
h1SMcG0000635	h1SMcG0000635	Gene Expression
h1SMcG0000636	h1SMcG0000636	Gene Expression
h1SMcG0000637	h1SMcG0000637	Gene Expression
h1SMcG0000639	h1SMcG0000639	Gene Expression
h1SMcG0000640	h1SMcG0000640	Gene Expression
h1SMcG0000641	h1SMcG0000641	Gene Expression
h1SMcG0000643	h1SMcG0000643	Gene Expression
h1SMcG0000644	h1SMcG0000644	Gene Expression
h1SMcG0000645	h1SMcG0000645	Gene Expression
h1SMcG0000646	h1SMcG0000646	Gene Expression
h1SMcG0000647	h1SMcG0000647	Gene Expression
h1SMcG0000648	h1SMcG0000648	Gene Expression
h1SMcG0000649	h1SMcG0000649	Gene Expression
h1SMcG0000651	h1SMcG0000651	Gene Expression
h1SMcG0000652	h1SMcG0000652	Gene Expression
h1SMcG0000653	h1SMcG0000653	Gene Expression
